accession,strain,species
GCA_000392485.2,P-8,Lactiplantibacillus plantarum
GCF_000008065.1,NCC 533,Lactobacillus johnsonii
GCF_000010145.1,IFO 3956,Limosilactobacillus fermentum
GCF_000011985.1,NCFM,Lactobacillus acidophilus
GCF_000014425.1,ATCC 33323,Lactobacillus gasseri
GCF_000014525.1,ATCC 334,Lacticaseibacillus paracasei
GCF_000016825.1,DSM 20016,Limosilactobacillus reuteri
GCF_000019245.4,Zhang,Lacticaseibacillus paracasei
GCF_000023085.1,JDM1,Lactiplantibacillus plantarum
GCF_000026505.1,GG (ATCC 53103),Lacticaseibacillus rhamnosus
GCF_000148815.2,ST-III,Lactiplantibacillus plantarum
GCF_000165775.1,R0052,Lactobacillus helveticus
GCF_000203855.3,WCFS1,Lactiplantibacillus plantarum
GCF_000248095.2,LM1,Limosilactobacillus mucosae
GCF_000338115.2,ZJ316,Lactiplantibacillus plantarum
GCF_000389675.2,La-14,Lactobacillus acidophilus
GCF_000412205.1,16,Lactiplantibacillus plantarum
GCF_001704335.1,DF,Lactiplantibacillus plantarum
GCF_014131735.1,DSM 20174,Lactiplantibacillus plantarum
GCF_041888805.1,DSM 17938,Limosilactobacillus reuteri
