,GCA_000392485.2,GCF_000008065.1,GCF_000010145.1,GCF_000014425.1,GCF_000014525.1,GCF_000016825.1,GCF_000019245.4,GCF_000023085.1,GCF_000026505.1,GCF_000148815.2,GCF_000203855.3,GCF_000248095.2,GCF_000338115.2,GCF_000412205.1,GCF_001704335.1,GCF_014131735.1,GCF_041888805.1
GCA_000392485.2,0.0,0.3308357745409012,0.40440985560417175,0.40441182255744934,0.35859696567058563,0.3735813498497009,0.3884097933769226,0.3325658043225606,0.3450480302174886,0.27741609513759613,0.3424183775981267,0.5829213584462801,0.2985247274239858,0.21932333707809448,0.30987865584237234,0.2616892009973526,0.5036965310573578
GCF_000008065.1,0.3308357745409012,0.0,0.39077557623386383,0.381588377058506,0.36030668020248413,0.3798305739959081,0.43764346837997437,0.3837954153617223,0.3592421015103658,0.3085327297449112,0.3745615879694621,0.5576440766453743,0.33425672849019367,0.29432615637779236,0.35883334279060364,0.3033120930194855,0.5038333237171173
GCF_000010145.1,0.40440985560417175,0.39077557623386383,0.0,0.44732242077589035,0.4107823967933655,0.43254876633485156,0.41655486822128296,0.4202616314093272,0.38382474581400555,0.3901313245296478,0.4230569352706273,0.5551232248544693,0.39969274401664734,0.3750079274177551,0.41753186924116953,0.38486477732658386,0.501292551557223
GCF_000014425.1,0.40441182255744934,0.381588377058506,0.44732242077589035,0.0,0.4212096035480499,0.40744271874427795,0.4300078749656677,0.4151387910048167,0.41141249736150104,0.40071770548820496,0.4252113153537114,0.5632351003587246,0.4066508412361145,0.3769799470901489,0.4073131339890616,0.39153704047203064,0.44343242545922595
GCF_000014525.1,0.35859696567058563,0.36030668020248413,0.4107823967933655,0.4212096035480499,0.0,0.4242333223422368,0.42037534713745117,0.41181058684984845,0.36575429638226825,0.35597512125968933,0.3976270258426666,0.5809197450677553,0.3731497923533122,0.3266611099243164,0.39091151101248606,0.34320157766342163,0.5018223226070404
GCF_000016825.1,0.3735813498497009,0.3798305739959081,0.43254876633485156,0.40744271874427795,0.4242333223422368,0.0,0.4148004452387492,0.3939606149991353,0.38484840591748554,0.38605037331581116,0.41626104050212437,0.5951585703425937,0.3939628534846836,0.3517419497172038,0.37542326961244854,0.36745252708594006,0.49903231528070235
GCF_000019245.4,0.3884097933769226,0.43764346837997437,0.41655486822128296,0.4300078749656677,0.42037534713745117,0.4148004452387492,0.0,0.3861986994743347,0.30524663130442303,0.40608251094818115,0.41666799783706665,0.5599704682826996,0.40850333372751874,0.36006999015808105,0.3892965997968401,0.4008353054523468,0.4584815204143524
GCF_000023085.1,0.3325658043225606,0.3837954153617223,0.4202616314093272,0.4151387910048167,0.41181058684984845,0.3939606149991353,0.3861986994743347,0.0,0.36101073026657104,0.35505146781603497,0.3926019503010644,0.5555525769790014,0.3479473458396064,0.3143309950828552,0.3547306543304807,0.3391887346903483,0.47498109605577254
GCF_000026505.1,0.3450480302174886,0.3592421015103658,0.38382474581400555,0.41141249736150104,0.36575429638226825,0.38484840591748554,0.30524663130442303,0.36101073026657104,0.0,0.34568925698598224,0.3817672332127889,0.5490481340222888,0.3579084078470866,0.3142733573913574,0.3532895190375192,0.3383464614550273,0.47227611475520664
GCF_000148815.2,0.27741609513759613,0.3085327297449112,0.3901313245296478,0.40071770548820496,0.35597512125968933,0.38605037331581116,0.40608251094818115,0.35505146781603497,0.34568925698598224,0.0,0.3570258567730586,0.5772007318834463,0.27780797084172565,0.2472577691078186,0.320705132825034,0.22456958889961243,0.4992438505093257
