protein_id,accession,prophage_id,original_product,length_aa,putative_function,nearest_neighbor_protein_id,nearest_neighbor_prophage_id,cosine_similarity,confidence
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1635,GCA_000392485.2,pp1,hypothetical protein,87,hemolysin XhlA family protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08315,pp3,0.9998,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1639,GCA_000392485.2,pp1,hypothetical protein,53,DUF4355 domain-containing protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS11455,pp2,0.9505,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1640,GCA_000392485.2,pp1,hypothetical protein,80,phage tail assembly chaperone G,GCF_000023085.1__pp2__513673-552269__JDM1_RS02570,pp2,0.9859,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1642,GCA_000392485.2,pp1,hypothetical protein,785,phage tail spike protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09755,pp3,0.9993,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1643,GCA_000392485.2,pp1,hypothetical protein,589,phage distal tail protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09760,pp3,0.9982,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1645,GCA_000392485.2,pp1,hypothetical protein,61,SHOCT domain-containing protein,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08050,pp5,0.9867,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1646,GCA_000392485.2,pp1,hypothetical protein,124,phage tail assembly chaperone,GCF_014131735.1__pp2__2214048-2255622__E5260_RS10440,pp2,0.9984,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1648,GCA_000392485.2,pp1,hypothetical protein,126,DUF806 family protein,GCF_014131735.1__pp2__2214048-2255622__E5260_RS10450,pp2,0.997,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1649,GCA_000392485.2,pp1,hypothetical protein,135,phage terminase small subunit P27 family,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04925,pp3,0.9816,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1650,GCA_000392485.2,pp1,hypothetical protein,115,phage head closure protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08380,pp3,0.9997,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1654,GCA_000392485.2,pp1,putative bacteriophage portal protein,397,phage portal protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00070,pp1,0.9999,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1655,GCA_000392485.2,pp1,hypothetical protein,64,DUF1056 family protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08405,pp3,0.9993,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1658,GCA_000392485.2,pp1,hypothetical protein,86,head protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06195,pp2,0.9863,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1660,GCA_000392485.2,pp1,hypothetical protein,50,phage terminase small subunit P27 family,GCF_000016825.1__pp1__733651-741034__LREU_RS03595,pp1,0.9749,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1663,GCA_000392485.2,pp1,hypothetical protein,133,DUF1642 domain-containing protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09860,pp3,0.9882,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1664,GCA_000392485.2,pp1,hypothetical protein,132,YopX family protein,GCF_000023085.1__pp2__513673-552269__JDM1_RS02475,pp2,0.9911,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1665,GCA_000392485.2,pp1,hypothetical protein,49,Thoeris anti-defense Tad2 family protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08500,pp3,0.9666,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1667,GCA_000392485.2,pp1,hypothetical protein,69,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9796,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1672,GCA_000392485.2,pp1,hypothetical protein,230,phage head-tail connector protein,GCF_000203855.3__pp1__590128-628381__LP_RS02880,pp1,0.9809,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1673,GCA_000392485.2,pp1,hypothetical protein,219,DUF669 domain-containing protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10425,pp3,0.9956,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1675,GCA_000392485.2,pp1,hypothetical protein,286,DUF1351 domain-containing protein,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS04870,pp3,0.9998,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1676,GCA_000392485.2,pp1,hypothetical protein,48,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.979,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1677,GCA_000392485.2,pp1,hypothetical protein,84,head-tail connector protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS11500,pp4,0.985,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1678,GCA_000392485.2,pp1,hypothetical protein,86,helix-turn-helix domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10425,pp5,0.979,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1679,GCA_000392485.2,pp1,hypothetical protein,41,type II toxin-antitoxin system YafQ family toxin,GCF_000010145.1__pp4__2020451-2042852__LAF_RS10145,pp4,0.9443,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1681,GCA_000392485.2,pp1,hypothetical protein,50,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9776,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1682,GCA_000392485.2,pp1,hypothetical protein,39,head-tail connector protein,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08035,pp5,0.9797,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1685,GCA_000392485.2,pp1,hypothetical protein,37,IS66 family insertion sequence element accessory protein TnpB,GCF_041888805.1__pp2__343838-371175__ACEPPB_RS01670,pp2,0.9714,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1686,GCA_000392485.2,pp1,hypothetical protein,76,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9844,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1687,GCA_000392485.2,pp1,hypothetical protein,66,DUF2273 domain-containing protein,GCF_001704335.1__pp8__24101-56829__AVR83_RS17455,pp8,0.9728,high
GCA_000392485.2__pp1__1695128-1736475__LBP_cg1688,GCA_000392485.2,pp1,hypothetical protein,104,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9905,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1970,GCA_000392485.2,pp2,hypothetical protein,87,hemolysin XhlA family protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08315,pp3,0.9988,high
GCA_000392485.2__pp2__2026993-2083990__LBP_cg1972,GCA_000392485.2,pp2,hypothetical protein,57,XkdX family protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS16465,pp4,0.9735,high
