seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
GCF_000019245.4__pp2__21080-31953	10874	No terminal repeats	9	11	0.9905	NA	0	1.7183	NA	NA
GCF_000412205.1__pp3__656-20092	19437	No terminal repeats	18	11	0.9852	NA	0	3.2832	NA	NA
GCF_041888805.1__pp6__1831614-1851323	19710	No terminal repeats	14	11	0.9825	NA	0	0.6478	NA	NA
GCF_000338115.2__pp1__1043085-1062922	19838	No terminal repeats	20	11	0.9804	NA	0	2.9349	NA	NA
GCF_000203855.3__pp2__873764-893663	19900	No terminal repeats	20	11	0.9799	NA	0	2.0852	NA	NA
GCF_001704335.1__pp8__24101-56829	32729	No terminal repeats	27	11	0.9784	NA	0	4.7157	NA	NA
GCF_000148815.2__pp2__828246-848324	20079	No terminal repeats	19	11	0.9771	NA	0	2.0852	NA	NA
GCF_000412205.1__pp1__825512-847042	21531	No terminal repeats	21	11	0.9747	NA	0	2.0852	NA	NA
GCF_000165775.1__pp1__974932-1003815	28884	No terminal repeats	39	11	0.9679	NA	0	2.0722	NA	NA
GCF_000148815.2__pp5__12196-41603	29408	No terminal repeats	26	11	0.9403	NA	0	0.2906	NA	NA
GCF_000010145.1__pp4__2020451-2042852	22402	No terminal repeats	27	11	0.9277	NA	0	0.4311	NA	NA
GCF_000389675.2__pp1__1807540-1828028	20489	No terminal repeats	30	11	0.8969	NA	0	0.4141	NA	NA
GCF_000011985.1__pp1__1811745-1823767	12023	No terminal repeats	20	11	0.8726	NA	0	0.6373	NA	NA
GCF_000165775.1__pp2__1078648-1089876	11229	No terminal repeats	12	11	0.7238	NA	0	0.2965	NA	NF000496
