seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
GCF_000016825.1__pp1__733651-741034	7384	No terminal repeats	NA	9	11	0.9791	NA	5	10.7290	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000026505.1__pp1__1102527-1140943	38417	No terminal repeats	NA	60	11	0.9783	NA	12	75.3357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000010145.1__pp2__531913-574579|provirus_6743_42667	35925	Provirus	6743-42667	47	11	0.9777	NA	11	41.7481	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000014425.1__pp1__600763-679301	78539	DTR	NA	119	11	0.9774	NA	30	164.1781	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000016825.1__pp2__869104-911067	41964	No terminal repeats	NA	58	11	0.9773	NA	8	62.0449	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000248095.2__pp2__574154-622103|provirus_1_39468	39468	Provirus	1-39468	62	11	0.9767	NA	10	49.0631	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp1__2461-18355	15895	No terminal repeats	NA	30	11	0.9758	NA	8	29.9315	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp7__3401460-3422490	21031	No terminal repeats	NA	21	11	0.9747	NA	10	27.3032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000026505.1__pp2__1528627-1569239|provirus_1_31741	31741	Provirus	1-31741	33	11	0.9743	NA	10	28.7469	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000014525.1__pp2__1905582-1950646	45065	No terminal repeats	NA	67	11	0.9742	NA	12	76.8684	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000008065.1__pp1__327894-370611	42718	No terminal repeats	NA	53	11	0.9733	NA	8	64.7697	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp2__462968-500215	37248	No terminal repeats	NA	59	11	0.9725	NA	12	38.9849	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000338115.2__pp3__2072879-2122999|provirus_6919_45985	39067	Provirus	6919-45985	55	11	0.9711	NA	12	52.3494	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp4__2129360-2166303	36944	No terminal repeats	NA	56	11	0.9709	NA	12	42.2541	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000016825.1__pp3__1162622-1201468	38847	No terminal repeats	NA	50	11	0.9705	NA	12	47.9534	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp5__2192291-2268807	76517	No terminal repeats	NA	114	11	0.9699	NA	20	88.1112	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_014131735.1__pp1__1061088-1107946	46859	No terminal repeats	NA	60	11	0.9685	NA	7	46.2475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000392485.2__pp1__1695128-1736475	41348	No terminal repeats	NA	60	11	0.9673	NA	12	52.9931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000008065.1__pp2__1286306-1330377	44072	No terminal repeats	NA	58	11	0.9667	NA	9	59.2414	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000148815.2__pp4__2142373-2187941	45569	No terminal repeats	NA	60	11	0.9665	NA	7	48.2535	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000203855.3__pp3__2163938-2219895	55958	No terminal repeats	NA	80	11	0.9657	NA	19	65.5403	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000023085.1__pp2__513673-552269	38597	No terminal repeats	NA	56	11	0.9626	NA	10	47.2077	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000026505.1__pp3__2947765-2961885	14121	No terminal repeats	NA	21	11	0.9621	NA	6	20.0352	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000203855.3__pp1__590128-628381	38254	No terminal repeats	NA	61	11	0.9606	NA	11	44.6726	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000014425.1__pp2__1464980-1483558	18579	No terminal repeats	NA	21	11	0.9605	NA	7	26.6955	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000338115.2__pp2__1430063-1473182	43120	No terminal repeats	NA	56	11	0.9605	NA	11	47.5946	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000392485.2__pp2__2026993-2083990	56998	No terminal repeats	NA	70	11	0.9579	NA	17	55.1676	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000023085.1__pp3__1024428-1064020	39593	No terminal repeats	NA	52	11	0.9571	NA	10	43.3467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_014131735.1__pp2__2214048-2255622	41575	No terminal repeats	NA	59	11	0.9570	NA	10	45.3546	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000338115.2__pp4__2405913-2448170	42258	No terminal repeats	NA	57	11	0.9570	NA	9	37.8092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000412205.1__pp2__2033545-2090819	57275	No terminal repeats	NA	78	11	0.9512	NA	17	51.5726	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000248095.2__pp1__180654-189521	8868	No terminal repeats	NA	12	11	0.9504	NA	0	10.6349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000203855.3__pp4__2999326-3007279	7954	No terminal repeats	NA	14	11	0.9499	NA	0	6.3965	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp6__3166433-3209564	43132	No terminal repeats	NA	59	11	0.9497	NA	9	40.5592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000148815.2__pp3__1793105-1845954|provirus_4841_46340	41500	Provirus	4841-46340	54	11	0.9471	NA	9	44.8792	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000010145.1__pp3__759458-769856	10399	No terminal repeats	NA	21	11	0.9430	NA	0	14.2840	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_041888805.1__pp3__824738-831451	6714	No terminal repeats	NA	9	11	0.9344	NA	0	6.1894	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000023085.1__pp1__39443-53448	14006	No terminal repeats	NA	20	11	0.9300	NA	7	15.5501	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_001704335.1__pp3__1024001-1037032	13032	No terminal repeats	NA	18	11	0.9231	NA	6	13.7959	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_041888805.1__pp5__1559525-1628400	68876	No terminal repeats	NA	77	11	0.9223	NA	13	57.7522	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_041888805.1__pp4__1529913-1535609	5697	No terminal repeats	NA	10	11	0.9206	NA	3	5.7679	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000019245.4__pp1__971299-993782	22484	No terminal repeats	NA	28	11	0.9168	NA	6	10.2744	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000248095.2__pp3__645322-648828	3507	No terminal repeats	NA	5	11	0.7679	NA	0	2.6907	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCF_000014525.1__pp1__501259-545033	43775	No terminal repeats	NA	61	11	0.7176	NA	1	5.7874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
