accession,strain,genome_size_bp,gc_percent,n_contigs
GCA_000392485.2,P-8,3246630,44.55,8
GCF_000008065.1,NCC 533,1992676,34.61,1
GCF_000010145.1,IFO 3956,2098685,51.47,1
GCF_000011985.1,NCFM,1993560,34.71,1
GCF_000014425.1,ATCC 33323,1894360,35.26,1
GCF_000014525.1,ATCC 334,2924325,46.58,2
GCF_000016825.1,DSM 20016,1999618,38.87,1
GCF_000019245.4,Zhang,2898456,46.43,2
GCF_000023085.1,JDM1,3197759,44.66,1
GCF_000026505.1,GG (ATCC 53103),3010111,46.69,1
GCF_000148815.2,ST-III,3307936,44.48,2
GCF_000165775.1,R0052,2129206,36.8,1
GCF_000203855.3,WCFS1,3348624,44.42,4
GCF_000248095.2,LM1,2434610,46.1,2
GCF_000338115.2,ZJ316,3299755,44.49,4
GCF_000389675.2,La-14,1991579,34.71,1
GCF_000412205.1,16,3361015,44.34,11
GCF_001704335.1,DF,3697306,44.08,4
GCF_014131735.1,DSM 20174,3250154,44.5,2
GCF_041888805.1,DSM 17938,2249437,39.04,3
