Genome	CRISPR_arrays	Spacer_count	Cas_operons	Cas_types
GCA_000392485.2	0	0	52	I-A;I-B;I-D;II-A;III-A;IV-A1;IV-D
GCF_000008065.1	0	0	41	I-A;I-B;I-D;II-A;III-A;III-B;IV-D;V-K
GCF_000010145.1	3	49	44	I-A;I-B;I-D;II-A;III-A;III-D;IV-A1;IV-B;IV-D
GCF_000011985.1	1	33	37	I-A;I-B;III-A;III-B;III-D;IV-D
GCF_000014425.1	0	0	36	I-A;I-B;III-A;III-B;IV-D
GCF_000014525.1	1	22	55	I-A;II-A;III-A;III-D;IV-B;IV-D
GCF_000016825.1	0	0	39	I-A;I-D;I-G;III-A;IV-A1;IV-B;IV-D;VI-B1
GCF_000019245.4	1	17	60	I-A;II-A;III-A;IV-B;IV-D
GCF_000023085.1	0	0	48	I-A;II-A;III-A;IV-A1;IV-D
GCF_000026505.1	1	25	53	I-A;II-A;III-A;IV-A1;IV-B;IV-D
GCF_000148815.2	0	0	52	I-A;I-B;II-A;III-A;IV-A1;IV-D
GCF_000165775.1	1	35	39	I-A;I-D;III-A;III-B;IV-D
GCF_000203855.3	0	0	0	
GCF_000248095.2	4	61	39	I-A;I-C;II-C;III-A;III-B;III-C;IV-A1;IV-B;IV-D
GCF_000338115.2	1	6	55	I-A;I-D;II-A;III-A;IV-A1;IV-D
GCF_000389675.2	1	33	36	I-A;I-B;III-A;III-B;III-D;IV-D
GCF_000412205.1	0	0	56	I-A;I-D;I-F;II-A;III-A;IV-A1;IV-D
GCF_001704335.1	0	0	56	I-A;I-B;I-D;II-A;III-A;III-D;IV-A1;IV-D
GCF_014131735.1	0	0	52	I-A;II-A;III-A;IV-A1;IV-D
GCF_041888805.1	0	0	53	I-A;I-B;I-D;III-A;IV-A1;IV-D;VI-B1
